学院,寝室楼,寝室规格,寝室类型,寝室号,备注
电气学院,3,8,男,440,
电气学院,3,8,男,443,
电气学院,3,8,男,444,
电气学院,3,8,男,445,
电气学院,3,8,男,446,
电气学院,3,8,男,501,
电气学院,3,8,男,502,
电气学院,3,8,男,503,
电气学院,3,8,男,504,
电气学院,3,8,男,505,
电气学院,3,8,男,506,
电气学院,3,8,男,507,
电气学院,3,8,男,509,
电气学院,3,8,男,510,
电气学院,3,8,男,511,
电气学院,3,8,男,517,
电气学院,3,8,男,518,
电气学院,3,8,男,520,
电气学院,3,8,男,521,
电气学院,3,8,男,522,
电气学院,3,8,男,523,
电气学院,3,8,男,524,
电气学院,3,8,男,525,
电气学院,6,5,女 ,138,
电气学院,6,5,女 ,213,
电气学院,6,5,女 ,227,
电气学院,6,5,女 ,230,
电气学院,6,5,女 ,235,
电气学院,6,5,女 ,333,
电气学院,6,5,女 ,334,
电气学院,6,5,女 ,520,
电气学院,6,5,女 ,532,
电气学院,6,5,女 ,638,
电气学院,6,5,女 ,639,
电气学院,7,5,男,118,
电气学院,7,5,男,119,
电气学院,7,5,男,120,
电气学院,7,5,男,121,
电气学院,7,5,男,125,
电气学院,7,5,男,126,
电气学院,7,5,男,127,
电气学院,7,5,男,148,
电气学院,7,5,男,202,
电气学院,7,5,男,204,
电气学院,7,5,男,205,
电气学院,7,5,男,206,
电气学院,7,5,男,207,
电气学院,7,5,男,216,
电气学院,7,5,男,218,
电气学院,7,5,男,219,
电气学院,7,5,男,220,
电气学院,7,5,男,221,
电气学院,7,5,男,222,
电气学院,7,5,男,224,
电气学院,7,5,男,225,
电气学院,7,5,男,327,
电气学院,7,5,男,332,
电气学院,7,5,男,336,
电气学院,7,5,男,340,
电气学院,7,5,男,347,
电气学院,7,5,男,413,
电气学院,7,5,男,414,
电气学院,7,5,男,416,
电气学院,7,5,男,425,
电气学院,7,5,男,433,
电气学院,7,5,男,434,
电气学院,7,5,男,435,
电气学院,7,5,男,436,
电气学院,7,5,男,438,
电气学院,7,5,男,439,
电气学院,7,5,男,502,
电气学院,7,5,男,504,
电气学院,7,5,男,505,
电气学院,7,5,男,506,
电气学院,7,5,男,508,
电气学院,7,5,男,509,
电气学院,7,5,男,511,
电气学院,7,5,男,512,
电气学院,7,5,男,516,
电气学院,7,5,男,519,
电气学院,7,5,男,525,
电气学院,7,5,男,526,
电气学院,7,5,男,601,
电气学院,7,5,男,603,
电气学院,7,5,男,619,
电气学院,7,5,男,620,
电气学院,7,5,男,628,
电气学院,7,5,男,629,
电气学院,7,5,男,630,
电气学院,7,5,男,631,
电气学院,8,4,女 ,601,
电气学院,8,4,女 ,602,
电气学院,8,4,女 ,603,
电气学院,8,4,女 ,611,
电气学院,8,4,女 ,612,
电气学院,8,4,女 ,613,
电气学院,8,4,女 ,620,
电气学院,8,4,女 ,621,
电气学院,8,4,女 ,622,
电气学院,8,4,女 ,623,
电气学院,8,4,女 ,624,
电气学院,8,4,女 ,626,
电气学院,9,4,男,120,
电气学院,9,4,男,121,
电气学院,9,4,男,122,
电气学院,9,4,男,123,
电气学院,9,4,男,124,
电气学院,9,4,男,125,
电气学院,9,4,男,126,
电气学院,9,4,男,127,
电气学院,9,4,男,128,
电气学院,9,4,男,129,
电气学院,9,4,男,130,
电气学院,9,4,男,131,
电气学院,9,4,男,132,
电气学院,9,4,男,133,
电气学院,9,4,男,134,
电气学院,9,4,男,201,
电气学院,9,4,男,202,
电气学院,9,4,男,203,
电气学院,9,4,男,204,
电气学院,9,4,男,205,
电气学院,9,4,男,206,
电气学院,9,4,男,207,
电气学院,9,4,男,208,
电气学院,9,4,男,210,
电气学院,9,4,男,211,
电气学院,9,4,男,212,
电气学院,9,4,男,213,
电气学院,9,4,男,214,
电气学院,9,4,男,215,
电气学院,9,4,男,216,
电气学院,9,4,男,226,
电气学院,9,4,男,227,
电气学院,9,4,男,228,
电气学院,9,4,男,229,
电气学院,9,4,男,230,
电气学院,9,4,男,231,
电气学院,9,4,男,232,
电气学院,9,4,男,233,
电气学院,9,4,男,234,
电气学院,9,4,男,235,
电气学院,9,4,男,236,
电气学院,9,4,男,301,
电气学院,9,4,男,302,
电气学院,9,4,男,303,
电气学院,9,4,男,304,
电气学院,9,4,男,305,
电气学院,9,4,男,306,
电气学院,9,4,男,307,
电气学院,9,4,男,308,
电气学院,9,4,男,309,
电气学院,9,4,男,310,
电气学院,9,4,男,311,
电气学院,9,4,男,312,
电气学院,9,4,男,313,
电气学院,9,4,男,314,
电气学院,9,4,男,315,
电气学院,9,4,男,316,
电气学院,9,4,男,317,
电气学院,9,4,男,318,
电气学院,9,4,男,319,
电气学院,9,4,男,320,
电气学院,9,4,男,321,
电气学院,9,4,男,322,
电气学院,9,4,男,323,
电气学院,9,4,男,324,
电气学院,9,4,男,401,
电气学院,9,4,男,402,
电气学院,9,4,男,403,
电气学院,9,4,男,404,
电气学院,9,4,男,405,
电气学院,9,4,男,406,
电气学院,9,4,男,407,
电气学院,9,4,男,408,
电气学院,9,4,男,409,
电气学院,9,4,男,415,
电气学院,9,4,男,419,
电气学院,9,4,男,601,
电气学院,10,4,女 ,405,
电气学院,10,4,女 ,430,
电气学院,10,4,女 ,434,
电气学院,10,4,女 ,437,
电气学院,10,4,女 ,438,
电气学院,10,4,女 ,508,
电气学院,10,4,女 ,509,
电气学院,10,4,女 ,510,
电气学院,10,4,女 ,511,
电气学院,10,4,女 ,512,
电气学院,10,4,女 ,513,
电气学院,10,4,女 ,514,
电气学院,10,4,女 ,515,
电气学院,10,4,女 ,516,
电气学院,10,4,女 ,522,
电气学院,10,4,女 ,533,
电气学院,10,4,女 ,536,
电气学院,10,4,女 ,612,
电气学院,10,4,女 ,613,
电气学院,10,4,女 ,614,
电气学院,10,4,女 ,615,
电气学院,10,4,女 ,622,
电气学院,10,4,女 ,624,
